id,code,name,city,state,longitude,latitude
268,SPS,SHEPPARD AIR FORCE BASE/WICHITA FALLS MUNICIPAL AIRPORT,WICHITA FALLS,TX,-98.491893,33.988796
269,SRQ,SARASOTA/BRADENTON INTERNATIONAL AIRPORT,SARASOTA/BRADENTON,FL,-82.554389,27.395444
270,STL,LAMBERT-ST LOUIS INTERNATIONAL AIRPORT,ST LOUIS,MO,-90.370029,38.748697
271,STT,CYRIL E KING AIRPORT,CHARLOTTE AMALIE,VI,-64.973361,18.337306
272,STX,HENRY E ROHLSEN AIRPORT,CHRISTIANSTED,VI,-64.801722,17.701556
273,SUN,FRIEDMAN MEMORIAL AIRPORT,HAILEY,ID,-114.295553,43.503779
274,SWF,STEWART INTERNATIONAL AIRPORT,NEWBURGH,NY,-74.104833,41.504111
275,SYR,SYRACUSE HANCOCK INTERNATIONAL AIRPORT,SYRACUSE,NY,-76.106311,43.111187
276,TLH,TALLAHASSEE REGIONAL AIRPORT,TALLAHASSEE,FL,-84.350333,30.396528
277,TPA,TAMPA INTERNATIONAL AIRPORT,TAMPA,FL,-82.53325,27.975472
278,TRI,TRI-CITIES REGIONAL AIRPORT,BRISTOL/JOHNSON/KINGSPORT,TN,-82.407417,36.475222
279,TTN,TRENTON MERCER AIRPORT,TRENTON,NJ,-74.813468,40.276691
280,TUL,TULSA INTERNATIONAL AIRPORT,TULSA,OK,-95.888111,36.198389
281,TUS,TUCSON INTERNATIONAL AIRPORT,TUCSON,AZ,-110.941028,32.116083
282,TVC,CHERRY CAPITAL AIRPORT,TRAVERSE CITY,MI,-85.582361,44.741639
283,TWF,JOSLIN FIELD - MAGIC VALLEY REGIONAL AIRPORT,TWIN FALLS,ID,-114.48775,42.481806
284,TXK,TEXARKANA REGIONAL-WEBB FIELD,TEXARKANA,AR,-93.991028,33.453722
285,TYS,MC GHEE TYSON AIRPORT,KNOXVILLE,TN,-83.994028,35.810972
286,VLD,VALDOSTA REGIONAL AIRPORT,VALDOSTA,GA,-83.276219,30.781372
287,VPS,EGLIN AIR FORCE BASE,VALPARAISO,FL,-86.526044,30.483219
288,XNA,NORTHWEST ARKANSAS REGIONAL AIRPORT,FAYETTEVILLE/SPRINGDALE/,AR,-94.306811,36.281869
289,YUM,YUMA INTERNATIONAL AIRPORT,YUMA,AZ,-114.605972,32.656583
